p,q,pq
52901,87299,4618204399
12823,42667,547118941
43093,48989,2111082977
21557,75707,1632015799
9199,33023,303778577
49331,27779,1370365849
953,29311,27933383
8429,36479,307481491
95083,19489,1853072587
81671,22093,1804357403
44089,60727,2677392703
93889,88339,8294060371
99787,13901,1387139087
93419,65899,6156218681
34939,19891,694971649
83911,77171,6475495781
46273,97829,4526841317
4133,28163,116397679
8311,50587,420428557
4243,23917,101479831
10789,77687,838165043
15901,76733,1220131433
12263,93523,1146872549
81671,28433,2322151543
28181,24877,701058737
91183,58963,5376423229
86027,21787,1874270249
24763,51263,1269425669
7487,41887,313607969
9511,14621,139060331
16741,22003,368352223
91303,15173,1385340419
44909,68261,3065533249
86179,94781,8168131799
63389,17077,1082493953
52189,80407,4196360923
84523,41947,3545486281
48787,49057,2393343859
65371,51427,3361834417
56207,23291,1309117237
9551,97883,934880533
11119,36007,400361833
6469,90071,582669299
86869,57787,5019898903
94207,2089,196798423
98801,4259,420793459
36709,887,32560883
82051,61379,5036208329
57731,487,28114997
90247,65413,5903327011
11597,2477,28725769
79589,70529,5613332581
42433,7507,318544531
6043,99923,603834689
38971,48079,1873686709
39373,32059,1262259007
34367,3463,119012921
68473,75767,5187993791
69911,93251,6519270661
39719,4373,173691187
13759,41579,572085461
11597,44533,516449201
72043,72643,5233419649
93911,42169,3960132959
65447,29173,1909285331
70717,14741,1042439297
811,54829,44466319
99439,13043,1296982877
3467,99119,343645573
71933,28619,2058650527
44281,5923,262276363
94427,16787,1585146049
23021,29867,687568207
44101,57139,2519887039
93827,84809,7957374043
51427,73277,3768416279
78137,8147,636582139
74027,44279,3277841533
23789,81551,1940016739
41281,2281,94161961
28631,56989,1631652059
99497,5843,581360971
2557,32083,82036231
49363,10891,537612433
59107,29033,1716053531
92233,59567,5494043111
58199,9343,543753257
70687,54091,3823530517
92551,67801,6275050351
34679,19841,688066039
41039,15193,623505527
62297,47701,2971629197
42209,27179,1147198411
89459,46889,4194643051
19843,96001,1904947843
15241,50093,763467413
35419,78179,2769022001
75079,36749,2759078171
20431,17987,367492397
54331,17783,966168173
63977,98041,6272369057
14783,8641,127739903
48889,40699,1989733411
49033,2713,133026529
22129,11027,244016483
23609,80141,1892048869
5443,76423,415970389
44131,32939,1453631009
95561,17117,1635717637
93169,79349,7392866981
57037,44687,2548812419
24469,24419,597508511
99623,93229,9287752667
93337,17011,1587755707
65011,23833,1549407163
92381,55819,5156615039
74821,35521,2657716741
76387,7229,552201623
73061,34583,2526668563
74609,62201,4640754409
113,25717,2906021
92153,66821,6157755613
28549,107,3054743
1277,23497,30005669
69593,29753,2070600529
16189,64709,1047574001
11003,1559,17153677
64019,85193,5453970667
98669,37747,3724458743
85621,18757,1605993097
96053,66463,6383970539
34679,21169,734119751
54881,3769,206846489
38767,26267,1018292789
31379,10357,324992303
40933,59351,2429414483
79411,83311,6615809821
75347,16453,1239684191
90997,81817,7445101549
18191,43669,794382779
66377,91393,6066393161
55337,99859,5525897483
487,1433,697871
92557,8677,803117089
10729,9319,99983551
31189,8467,264077263
51341,77563,3982161983
39623,72871,2887367633
78259,15383,1203858197
31337,79333,2486058221
86357,51907,4482532799
15473,20731,320770763
48847,19079,931951913
44621,9743,434742403
68261,99469,6789853409
13933,57107,795671831
11257,75133,845772181
65419,77167,5048187973
52757,5417,285784669
80761,419,33838859
35897,49477,1776075869
199,84431,16801769
62921,45343,2853026903
79633,55997,4459209101
59407,65123,3868762061
23011,911,20963021
78041,54773,4274539693
86843,80923,7027596089
64717,31267,2023506439
62297,41389,2578410533
43963,97777,4298570251
45181,16189,731435209
19949,74771,1491606679
26261,50753,1332824533
27109,47087,1276481483
38189,70061,2675559529
85847,20771,1783128037
67481,74297,5013635857
54193,31223,1692068039
56807,10037,570171859
61631,33679,2075670449
75407,4679,352829353
63611,92861,5906981071
94427,63067,5955227609
29401,72767,2139422567
81559,12377,1009455743
86771,81077,7035132367
21727,66863,1452732401
69847,35983,2513304601
70201,74827,5252930227
13627,6469,88153063
61211,87649,5365082939
42227,99707,4210327489
79967,53813,4303264171
41399,73583,3046262617
36011,4271,153802981
43753,93199,4077735847
61051,45853,2799371503
99103,67819,6721066357
9857,28411,280047227
55073,77977,4294427321
33829,10957,370664353
93901,3469,325742569
4831,37967,183418577
51241,26513,1358552633
46411,3593,166754723
64877,74527,4835088179
16619,52223,867894037
55987,83737,4688183419
77543,20063,1555745209
28493,87701,2498864593
11731,82499,967795769
13339,25321,337756819
40213,32141,1292486033
55997,39679,2221904963
7877,37217,293158309
45007,25589,1151684123
84089,61673,5186020897
13903,72313,1005367639
30497,86843,2648450971
80599,74567,6010025633
37217,62723,2334361891
42193,82487,3480373991
25703,401,10306903
77933,5323,414837359
41357,20903,864485371
57587,48491,2792451217
773,50291,38874943
21467,15937,342119579
49103,33113,1625947639
15583,29669,462332027
94169,83243,7838910067
56921,29153,1659417913
22861,39139,894756679
78163,63611,4972026593
5807,89591,520254937
12211,48809,596006699
90023,11939,1074784597
69371,8543,592636453
99487,81689,8126993543
91961,53411,4911728971
99083,62347,6177527801
67153,1277,85754381
17417,55291,963003347
69001,11117,767084117
88241,57367,5062121447
18517,13513,250220221
76079,2591,197120689
863,62311,53774393
72907,74197,5409480679
84317,49871,4204973107
57973,97649,5661005477
65557,74771,4901762447
47717,14851,708645167
79283,23339,1850385937
73243,98479,7212897397
10343,61681,637966583
66271,36497,2418692687
59141,39869,2357892529
29303,48409,1418528927
55243,99611,5502810473
69497,88643,6160422571
45691,86767,3964470997
62323,38237,2383044551
88667,14293,1267317431
86587,33529,2903175523
17099,48371,827095729
64919,19219,1247678261
80387,71479,5745982373
56779,75781,4302769399
55339,87071,4818422069
72817,47809,3481307953
23993,31019,744238867
97883,27851,2726139433
87211,34033,2968051963
25303,79357,2007970171
12763,97367,1242695021
40009,19961,798619649
42937,57847,2483776639
69691,52457,3655780787
54437,13147,715683239
72959,59077,4310198843
55823,92051,5138562973
25229,93283,2353436807
57107,12619,720633233
86753,48479,4205698687
9689,97813,947710157
46171,12589,581246719
44987,88807,3995160509
89069,96469,8592397361
14633,73303,1072642799
68821,4483,308524543
4973,257,1278061
67189,38629,2595443881
67961,45121,3066468281
36241,91397,3312318677
16561,72719,1204299359
74219,28621,2124221999
50321,98573,4960291933
80449,90401,7272670049
22091,51839,1145175349
67567,15739,1063437013
47599,15731,748779869
91493,74507,6816868951
49393,18311,904435223
28109,30169,848020421
70459,42841,3018534019
76261,86783,6618158363
26399,76913,2030426287
44683,64433,2879059739
25969,31627,821321563
98101,28793,2824622093
52301,70997,3713214097
5347,25037,133872839
46439,80603,3743122717
10079,63907,644118653
73613,96907,7133614991
75707,21727,1644885989
26347,97561,2570439667
46633,45263,2110749479
20407,13931,284289917
59791,36793,2199890263
73,20089,1466497
34361,18947,651037867
95153,75997,7231342541
65239,89521,5840260519
69859,97073,6781422707
46337,27091,1255315667
47087,26891,1266216517
95713,373,35700949
69431,91691,6366197821
61643,93097,5738778371
14699,4337,63749563
75511,39511,2983515121
40039,10949,438387011
21817,65617,1431566089
16427,12893,211793311
48463,29633,1436104079
22283,11117,247720111
72367,31193,2257343831
24473,16217,396878641
85021,97157,8260385297
68821,65809,4529041189
16223,59141,959444443
19163,65539,1255923857
13999,48623,680673377
13043,54011,704465473
2371,54001,128036371
59627,99257,5918397139
90089,23063,2077722607
63377,48761,3090325897
89387,18731,1674307897
7817,85093,665171981
1877,78139,146666903
8389,63073,529119397
19441,3727,72456607
58537,70393,4120595041
23767,3361,79880887
54001,73651,3977227651
39511,46933,1854369763
4951,81647,404234297
29311,36653,1074336083
3457,29947,103526779
5897,73939,436018283
75797,58603,4441931591
72661,68281,4961365741
51437,70121,3606813877
80231,14929,1197768599
85447,84061,7182760267
38557,22549,869421793
66809,54787,3660264683
65633,29917,1963542461
26959,78283,2110431397
90793,92717,8418054581
8623,33053,285016019
64483,62801,4049596883
98429,31259,3076792111
59699,38609,2304918691
9349,1607,15023843
53507,20143,1077791501
60427,43133,2606397791
16333,68213,1114122929
45259,36217,1639145203
44953,47051,2115083603
87121,17477,1522613717
45053,14767,665297651
90017,84961,7647934337
57923,70619,4090464337
85049,31481,2677427569
58393,80473,4699059889
1669,56401,94133269
99181,88001,8728027181
12413,84449,1048265437
4373,16063,70243499
59207,36923,2186100061
44959,2801,125930159
78571,7867,618118057
40897,97001,3967049897
98929,86501,8557457429
70769,11423,808394287
98669,19961,1969531909
70537,98773,6967151101
31481,4621,145473701
15797,75683,1195564351
10459,96749,1011897791
73433,3617,265607161
54001,8093,437030093
33223,34721,1153535783
88469,78179,6916417951
56003,96587,5409161761
30497,17737,540925289
1787,15739,28125593
80527,19213,1547165251
53891,96517,5201397647
1549,91939,142413511
46301,80749,3738759449
7829,3943,30869747
5879,51349,301880771
26153,13649,356962297
85247,80863,6893328161
15667,52081,815953027
5413,28019,151666847
2903,61121,177434263
1009,39439,39793951
55501,28843,1600815343
499,43609,21760891
46399,35951,1668090449
33377,43759,1460544143
71917,23159,1665525803
87443,80107,7004796401
5179,8297,42970163
55213,20681,1141860053
76001,61357,4663193357
13901,14009,194739109
2521,20051,50548571
3253,54193,176289829
34673,34871,1209082183
23159,43261,1001881499
52691,43541,2294218831
1637,26177,42851749
21121,37537,792818977
91009,48487,4412753383
71429,3631,259358699
47969,36479,1749861151
33311,23539,784107629
92333,98129,9060544957
12713,149,1894237
64811,25391,1645616101
51419,32441,1668083779
29663,15937,472739231
56921,99839,5682935719
78877,29483,2325530591
72973,20731,1512803263
86161,92363,7958088443
3557,17509,62279513
47543,75403,3584884829
13043,62141,810505063
28729,83443,2397233947
75781,34471,2612246851
50741,55799,2831297059
78121,75289,5881651969
20393,98467,2008037531
59887,42767,2561187329
5101,92297,470806997
56611,61757,3496125527
34127,8521,290796167
17783,7417,131896511
1277,2063,2634451
35393,70823,2506638439
59453,52631,3129070843
33961,17417,591498737
30971,1429,44257559
94343,80669,7610555467
51871,58997,3060233387
16529,95143,1572618647
58073,84521,4908388033
31771,64333,2043923743
31667,48109,1523467703
48757,75553,3683737621
24923,37189,926861447
93971,2441,229383211
20849,12253,255462797
4091,62591,256059781
41213,71711,2955425443
90529,26153,2367604937
92893,45013,4181392609
85451,79159,6764215709
93257,89779,8372520203
95803,78713,7540941539
30829,70657,2178284653
4099,96269,394606631
241,81173,19562693
20233,25679,519563207
81773,56401,4612078973
16661,35951,598979611
65419,44867,2935154273
23567,20599,485456633
71707,61667,4421955569
85621,15809,1353582389
95717,35993,3445141981
59513,2753,163839289
68521,11927,817249967
48109,97259,4679033231
20023,51871,1038613033
91237,26993,2462760341
16193,26641,431397713
46073,65587,3021789851
62827,42403,2664053281
1511,42209,63777799
54787,64667,3542910929
82471,81839,6749344169
39043,443,17296049
80473,78121,6286631233
71563,79867,5715522121
73039,75503,5514663617
38329,1637,62744573
68261,36871,2516851331
92419,85087,7863655453
5857,61927,362706439
8707,1493,12999551
55949,18059,1010382991
7057,50159,353972063
10831,73859,799966829
50077,99017,4958474309
36073,99859,3602213707
28277,55381,1566008537
73517,75437,5545901929
82529,87583,7228137407
79967,70783,5660304161
68963,64579,4453561577
46147,26557,1225525879
38651,24481,946215131
29669,14713,436519997
29567,52009,1537750103
30853,28927,892484731
1801,62743,113000143
48571,88337,4290616427
90397,31583,2855008451
67493,48679,3285491747
55807,2671,149060497
3539,89459,316595401
26263,84947,2230963061
20249,25057,507379193
54517,96827,5278717559
88019,73291,6451000529
7741,38699,299568959
22013,40609,893925917
89659,39019,3498404521
52813,90239,4765792307
44207,69763,3084012941
60353,10163,613367539
40343,47087,1899630841
21013,99137,2083165781
96931,32561,3156170291
95317,91099,8683283383
28627,32083,918440041
75347,69109,5207155823
13099,76283,999231017
6451,59417,383299067
99317,6337,629371829
90403,95287,8614230661
97931,82373,8066870263
1663,10789,17942107
22651,67289,1524163139
86689,4327,375103303
98639,74257,7324636223
62311,24029,1497271019
66643,21929,1461414347
25373,41257,1046813861
75289,61813,4653838957
18523,13309,246522607
56393,81629,4603304197
9127,21401,195326927
6007,67003,402487021
11801,60943,719188343
68113,36527,2487963551
55259,9511,525568349
34499,61519,2122343981
83117,58921,4897336757
6133,71711,439803563
13691,96167,1316622397
59539,35053,2087020567
8219,87119,716031061
16447,36469,599805643
54311,26347,1430931917
78191,85303,6669926873
51859,3083,159881297
71399,82361,5880493039
64231,8011,514554541
34687,41333,1433717771
75193,69263,5208092759
20509,57803,1185481727
17681,33587,593851747
22963,78347,1799082161
19489,41647,811658383
18229,41609,758490461
61463,8419,517456997
88607,27883,2470628981
8209,25673,210749657
77951,35527,2769365177
23833,84827,2021681891
55511,27271,1513840481
2111,39119,82580209
74861,24533,1836564913
83273,32323,2691633179
43649,71287,3111606263
37993,79153,3007259929
61961,72139,4469804579
95441,32971,3146785211
63929,81157,5188285853
40627,30323,1231932521
60913,5519,336178847
83579,33589,2807335031
23879,57923,1383143317
77543,12799,992472857
67447,38321,2584636487
55967,38677,2164635659
25561,12377,316368497
28711,96469,2769721459
22751,79241,1802811991
13693,26597,364192721
95087,67153,6385377311
5483,5009,27464347
23831,92387,2201674597
53503,57143,3057321929
97463,50231,4895663953
21821,46933,1024124993
49943,71549,3573371707
63211,3307,209038777
53927,22133,1193566291
36209,62233,2253394697
80599,53129,4282144271
94379,94789,8946091031
66161,53849,3562703689
63697,80387,5120410739
6607,32573,215209811
99257,89909,8924097613
86689,80021,6936940469
99907,36979,3694460953
82207,87803,7218021221
67219,74929,5036652451
49211,89017,4380615587
7451,60317,449421967
71167,35437,2521944979
75821,42967,3257800907
58997,7817,461179549
92861,94063,8734784243
8431,38933,328244123
58549,32173,1883696977
64951,40787,2649156437
8291,71023,588851693
52541,51343,2697612563
54877,40283,2210610191
48857,90647,4428740479
64709,30241,1956864869
19387,93739,1817317993
84401,69911,5900558311
97003,61723,5987316169
26693,24671,658543003
40519,89113,3610769647
19469,45667,889090823
271,76519,20736649
62639,38119,2387736041
17791,71257,1267733287
43717,17341,758096497
14879,45971,684002509
99767,63443,6329517781
64877,97961,6355415797
99761,98711,9847508071
6277,13339,83728903
73009,98849,7216866641
77017,10301,793352117
24019,98327,2361716213
6521,91781,598503901
16369,67699,1108164931
47041,55817,2625687497
24841,167,4148447
10687,28597,305616139
15473,97861,1514203253
34039,49031,1668966209
76579,2909,222768311
87931,25463,2238987053
47653,1039,49511467
69031,13781,951316211
56873,3469,197292437
34127,94399,3221554673
34591,643,22242013
89387,72421,6473495927
52021,98909,5145345089
45263,73433,3323797879
23,3301,75923
97159,32117,3120455603
62603,86143,5392810229
81097,18973,1538653381
80671,21881,1765162151
56197,44789,2517007433
863,30427,26258501
97841,63781,6240396821
19079,72269,1378820251
60133,9049,544143517
17761,74167,1317280087
58661,23297,1366625317
34739,64901,2254595839
86753,67339,5841860267
29759,51061,1519524299
80761,11863,958067743
16249,18289,297177961
69899,59093,4130541607
22013,57221,1259605873
19759,55711,1100793649
40903,63127,2582083681
32707,46103,1507890821
24943,15017,374569031
61981,22483,1393518823
57367,41227,2365069309
89563,25219,2258689297
19423,42797,831246131
62003,60037,3722474111
89381,97,8669957
79669,9743,776215067
41729,98869,4125704501
70001,99041,6932969041
37123,41579,1543537217
72481,11257,815918617
54193,13399,726132007
93787,90647,8501510189
77239,883,68202037
19001,12197,231755197
3499,12391,43356109
20051,27449,550379899
65717,52889,3475706413
69067,55717,3848206039
62011,84787,5257726657
89759,20759,1863307081
4253,86467,367744151
37619,41299,1553627081
61363,14633,897924779
26099,36037,940529663
8171,7841,64068811
94547,17029,1610040863
35899,27541,988694359
33871,40037,1356093227
46523,47737,2220868451
11971,4591,54958861
66179,2857,189073403
21863,16487,360455281
21737,51613,1121911781
1621,39829,64562809
51673,77383,3998611759
33409,72313,2415905017
30757,42451,1305665407
99317,85781,8519511577
23671,11467,271435357
95617,77003,7362795851
25261,75689,1911979829
8609,23017,198153353
55621,40361,2244919181
22769,4129,94013201
41023,74923,3073566229
61471,43973,2703064283
35051,22727,796604077
28909,85103,2460242627
25307,27901,706090607
56857,44579,2534628203
46867,79873,3743407891
97943,89303,8746603729
65029,85093,5533512697
42101,77101,3246029201
54121,95891,5189716811
33091,60041,1986816731
19991,3767,75306097
48497,42589,2065438733
52103,81727,4258221881
72173,57641,4160123893
76157,85517,6512718169
42013,80749,3392507737
98443,41851,4119937993
72383,47653,3449267099
43391,65881,2858642471
44537,93419,4160602003
42923,16649,714625027
76679,80701,6188071979
36017,89459,3222044803
90511,31183,2822404513
84719,14419,1221563261
4073,22369,91108937
67231,76717,5157760627
88801,33547,2979007147
33961,8233,279600913
70753,18899,1337160947
89653,52489,4705796317
2287,58027,132707749
64091,62791,4024337981
42461,39241,1666212101
63629,58579,3727323191
46643,57347,2674836121
52963,65521,3470188723
63607,85627,5446476589
17467,13337,232957379
53527,34487,1845985649
35423,81769,2896503287
78049,24953,1947556697
23291,25913,603539683
34883,3989,139148287
91249,19301,1761196949
99317,28573,2837784641
61637,11393,702230341
71479,27917,1995479243
61703,80687,4978629961
58411,83,4848113
67261,8647,581605867
71069,98251,6982600319
3539,35149,124392311
33347,46051,1535662697
17401,91411,1590642811
49523,28297,1401352331
97729,66499,6498880771
15473,43789,677547197
56333,90007,5070364331
50773,66161,3359192453
26423,98809,2610830207
71167,28109,2000433203
87211,25763,2246816993
88177,17333,1528371941
53819,17713,953295947
42463,62273,2644298399
31379,39317,1233728143
20399,7703,157133497
51349,80347,4125738103
69011,67619,4666454809
6121,28723,175813483
59053,59341,3504264073
33013,2411,79594343
71483,79631,5692262773
80071,47711,3820267481
64783,48871,3166009993
76541,69019,5282783279
22433,34651,777325883
43117,11621,501062657
12071,25349,305987779
6299,76907,484437193
93701,26687,2500598587
77323,28219,2181977737
27259,2927,79787093
2521,761,1918481
62383,80567,5026011161
2459,26437,65008583
95737,36653,3509048261
25747,68477,1763077319
82153,43117,3542190901
2417,70921,171416057
62423,99241,6194920943
88093,90199,7945900507
81509,39511,3220502099
87853,62119,5457340507
31277,39161,1224838597
